,Ti,Al,Mn,Nb,Cr,Mo,V,Zr,Hf,O,Ta,Si,W,C,B,Fe,Ru,Ni,Y,Re,TestT,logYS,logTS,logEl,logHV,logCost
23,48.4,47.0,0.0,2.6,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.681241237375587,2.738780558484369,0.3617278360175928,,1.509434233132143
24,48.4,47.0,0.0,2.6,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,873,2.583198773968623,2.705007959333336,0.4913616938342727,,1.509434233132143
25,48.4,47.0,0.0,2.6,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1073,2.510545010206612,2.69196510276736,1.740362689494244,,1.509434233132143
26,48.4,47.0,0.0,2.6,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.518513939877888,2.583198773968623,-0.0969100130080563,,1.509434233132143
27,48.4,47.0,0.0,2.6,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1073,2.462397997898956,2.577491799837226,0.1760912590556812,,1.509434233132143
28,50.8,46.2,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.645422269349092,2.759667844689631,0.1760912590556812,,1.023539488277326
29,50.8,46.2,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1033,2.582063362911709,2.7481880270062,1.093421685162235,,1.023539488277326
30,50.8,46.2,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1113,2.580924975675619,2.739572344450092,1.086359830674748,,1.023539488277326
31,53.4,45.0,1.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.667452952889954,2.752816431188271,0.146128035678238,,0.5819083923863454
32,53.4,45.0,1.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1073,2.568201724066995,2.732393759822969,1.146128035678238,,0.5819083923863454
33,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.519827993775719,2.615950051656401,0.3617278360175928,,0.5880816442686724
34,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1033,2.491361693834273,2.633468455579587,1.0800000429153442,,0.5880816442686724
35,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.681241237375587,2.759999990463257,0.4913616938342727,,0.5880816442686724
36,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1033,2.60530504614111,2.700000047683716,1.602059991327962,,0.5880816442686724
37,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1143,2.518513939877888,2.640000104904175,1.724275869600789,,0.5880816442686724
38,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.657055852857104,2.7300000190734863,-0.3010299956639812,,0.5880816442686724
39,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1033,2.607455023214669,2.7100000381469727,0.4771212547196624,,0.5880816442686724
40,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1143,2.544068044350276,2.6600000858306885,1.278753600952829,,0.5880816442686724
41,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.707570176097936,2.775974331129369,0.4623979978989561,,0.5880816442686724
42,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,973,2.624282095835668,2.764176132390331,0.7160033436347992,,0.5880816442686724
43,49.25,47.0,0.0,2.0,1.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.632457292184724,2.712649701627211,0.146128035678238,,0.5898098298978642
44,49.25,47.0,0.0,2.0,1.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1033,2.456366033129043,2.631443769013172,1.123851640967086,,0.5898098298978642
45,49.25,47.0,0.0,2.0,1.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1088,2.565847818673518,2.725094521081469,1.367355921026019,,0.5898098298978642
46,48.0,47.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.633468455579587,2.711807229041191,0.0,,1.021926483146532
47,48.0,47.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1073,2.559906625036112,2.694605198933569,1.367355921026019,,1.021926483146532
48,48.0,47.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1143,2.523746466811565,2.60530504614111,1.164352855784437,,1.021926483146532
49,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,296,2.513217600067939,2.625312450961674,0.2304489213782739,,0.5880816442686724
50,48.0,48.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,923,2.453318340047038,2.675778341674085,0.7075701760979364,,0.5880816442686724
51,49.0,47.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,296,2.660865478003869,2.72916478969277,0.1522883443830565,,0.5908916155695725
52,49.0,47.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,923,2.550228353055094,2.731588765186739,0.5314789170422551,,0.5908916155695725
53,47.0,47.0,0.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,298,2.729407796963068,2.819999933242798,0.029999999329447746,2.525044807036845,0.5947149351089527
54,47.0,47.0,0.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,973,2.847017097935354,2.890000104904175,0.6200000047683716,,0.5947149351089527
55,47.0,47.0,0.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1073,2.686725621074542,2.759999990463257,1.059999942779541,,0.5947149351089527
56,47.0,47.0,0.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1123,2.534533756005116,2.650000095367432,1.100000023841858,,0.5947149351089527
57,47.0,47.0,0.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1173,2.420120848085703,2.539999961853028,1.190000057220459,,0.5947149351089527
58,50.7,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.3,0.0,0.0,0.0,0.0,0,0.0,0.0,296,2.702430536445525,2.777426822389311,-0.0506099933550872,,0.8141566528598846
59,50.7,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.3,0.0,0.0,0.0,0.0,0,0.0,0.0,923,2.615950051656401,2.756636108245848,0.2944662261615929,,0.8141566528598846
60,50.85,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.0,0.0,0.65,0.0,0.0,0,0.0,0.0,296,2.722633922533812,2.770115294787102,-0.2365720064370627,,1.013793909030964
61,50.85,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.0,0.0,0.65,0.0,0.0,0,0.0,0.0,923,2.643452676486187,2.725911632295048,0.0293837776852096,,1.013793909030964
62,49.2,46.8,0.0,0.7,1.6,0.0,0.0,0.0,0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,296,2.625312450961674,2.68304703823885,0.0043213737826425,,1.177351766266071
63,49.2,46.8,0.0,0.7,1.6,0.0,0.0,0.0,0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,923,2.555094448578319,2.719331286983727,0.5622928644564748,,1.177351766266071
64,48.7,47.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0,0.0,0.0,296,2.620136054973758,2.737987326333431,0.0492180226701816,,0.6810739254346098
65,48.7,47.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0,0.0,0.0,923,2.519827993775719,2.768638101247614,0.5943925503754267,,0.6810739254346098
66,49.6,45.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0,0.0,0.0,296,2.976349979003273,3.02938377768521,0.1875207208364631,,0.7107767937617363
